home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Wigan Athletic,Arsenal,07-Aug,0,0,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Erik Edman,Paul Scharner,Michael Brown,Jason Koumas,Antonio Valencia,Wilson Palacios,Marlon King,Emile Heskey,Ryan Taylor,Kevin Kilbane,Antoine Sibierski,Manuel Almunia,William Gallas,Philippe Senderos,Gael Clichy,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Mathieu Flamini,Emmanuel Adebayor,Nicklas Bendtner,Alex Song,Kolo Toure,Robin van Persie
Aston Villa,Middlesbrough,07-Aug,1,1,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Shaun Maloney,Gareth Barry,Nigel Reo-Coker,Craig Gardner,John Carew,Ashley Young,Gabriel Agbonlahor,Moustapha Salifou,Marlon Harewood,Olof Mellberg,Mark Schwarzer,Luke Young,Emanuel Pogatetz,Robert Huth,Gary O'Neil,George Boateng,Stewart Downing,Mohamed Shawky,Hossam Mido,Tuncay Sanli,Fabio Rochemback,Adam Johnson,Lee Cattermole
Portsmouth,Birmingham City,07-Aug,4,2,David James,Sol Campbell,Hermann Hreidarsson,Sylvain Distin,Glen Johnson,Papa Bouba Diop,Sulley Muntari,Niko Kranjcar,Pedro Mendes,Jermain Defoe,Milan Baros,Lassana Diarra,Lauren,Nwankwo Kanu,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,Damien Johnson,Gary McSheffrey,Sebastian Larsson,Fabrice Muamba,Mikael Forssell,Mauro Zarate,Mehdi Nafti,Cameron Jerome,James McFadden
Chelsea,Derby County,07-Aug,6,1,Carlo Cudicini,Ashley Cole,John Terry,Ricardo Carvalho,Paulo Ferreira,Joe Cole,Frank Lampard,Claude Makelele,Michael Ballack,Nicolas Anelka,Salomon Kalou,Andriy Shevchenko,Michael Essien,Didier Drogba,Roy Carroll,Marc Edworthy,Darren Moore,Alan Stubbs,Stephen Pearson,Robbie Savage,Mile Sterjovski,Eddie Lewis,Hossam Ghaly,Kenny Miller,Dean Leacock,David Jones,Robert Earnshaw
Derby County,Manchester United,07-Aug,0,1,Roy Carroll,Marc Edworthy,Darren Moore,Dean Leacock,James McEveley,Robbie Savage,Mile Sterjovski,Eddie Lewis,David Jones,Robert Earnshaw,Kenny Miller,Andy Todd,Laurent Robert,Emanuel Villa,Ben Foster,John O'Shea,Wes Brown,Patrice Evra,Ryan Giggs,Paul Scholes,Cristiano Ronaldo,Anderson,Wayne Rooney,Park Ji-Sung,Michael Carrick,Darren Fletcher,Louis Saha
Liverpool,Reading,07-Aug,2,1,Pepe Reina,Jamie Carragher,Fabio Aurelio,Alvaro Arbeloa,Martin Skrtel,Steven Gerrard,Xabi Alonso,Javier Mascherano,Dirk Kuyt,Fernando Torres,Ryan Babel,Sami Hyypia,Yossi Benayoun,John Arne Riise,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Andre Bikey,James Harper,John Oster,Marek Matejovsky,Stephen Hunt,Kevin Doyle,Shane Long,Jimmy Kebe,Kalifa Cisse,Dave Kitson
Portsmouth,Aston Villa,07-Aug,2,0,David James,Lauren,Hermann Hreidarsson,Sylvain Distin,Glen Johnson,Papa Bouba Diop,Sulley Muntari,Niko Kranjcar,Lassana Diarra,Jermain Defoe,Milan Baros,Pedro Mendes,John Utaka,Nwankwo Kanu,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Shaun Maloney,Gareth Barry,Nigel Reo-Coker,John Carew,Ashley Young,Gabriel Agbonlahor,Isaiah Osbourne,Moustapha Salifou,Marlon Harewood
Sunderland,Chelsea,07-Aug,0,1,Craig Gordon,Nyron Nosworthy,Danny Collins,Phil Bardsley,Jonny Evans,Andy Reid,Carlos Edwards,Dean Whitehead,Grant Leadbitter,Roy O'Donovan,Kenwyne Jones,Rade Prica,Ian Harte,Dwight Yorke,Carlo Cudicini,Ashley Cole,John Terry,Paulo Ferreira,Joe Cole,Frank Lampard,Michael Ballack,John Obi Mikel,Didier Drogba,Salomon Kalou,Andriy Shevchenko,Shaun Wright-Phillips,Michael Essien
West Ham United,Blackburn Rovers,07-Aug,2,1,Robert Green,Lucas Neill,George McCartney,Anton Ferdinand,Jonathan Spector,Hayden Mullins,Scott Parker,Freddie Ljungberg,Nolberto Solano,Dean Ashton,Bobby Zamora,Mark Noble,John Pantsil,Freddie Sears,Brad Friedel,Andre Ooijer,Stephen Warnock,Christopher Samba,David Dunn,Morten Gamst Pedersen,Brett Emerton,David Bentley,Jason Roberts,Roque Santa Cruz,Matt Derbyshire,Benedict McCarthy,Zurab Khizanishvili
Arsenal,Middlesbrough,07-Aug,1,1,Manuel Almunia,William Gallas,Kolo Toure,Emmanuel Eboue,Gael Clichy,Bacary Sagna,Alexsandr Hleb,Cesc Fabregas,Mathieu Flamini,Emmanuel Adebayor,Robin van Persie,Philippe Senderos,Nicklas Bendtner,Theo Walcott,Mark Schwarzer,Luke Young,Emanuel Pogatetz,Robert Huth,Gary O'Neil,George Boateng,Stewart Downing,Mohamed Shawky,Jeremie Aliadiere,Tuncay Sanli,Lee Cattermole,Hossam Mido,Andrew Taylor
