home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Blackburn Rovers,Sunderland,02-Mar,0,0,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Keith Gillespie,Tugay Kerimoglu,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Hakan Unsal,Corrado Grabbi,Craig Hignett,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Kevin Kilbane,Thomas Butler,Gavin McCann,Kevin Phillips,Julio Arca,Kevin Kyle,Niall Quinn
Charlton Athletic,Chelsea,02-Mar,2,3,Dean Kiely,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,Radostin Kishishev,Kevin Lisbie,Mathias Svensson,Carlo Cudicini,William Gallas,Albert Ferrer,Celestine Babayaro,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Eidur Gudjohnsen,Carlton Cole,Jesper Gronkjaer
Everton,Tottenham Hotspur,02-Mar,2,2,Richard Wright,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Juliano Rodrigo,David Unsworth,Niclas Alexandersson,Kasey Keller,Dean Richards,Mauricio Taricco,Anthony Gardner,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham,Steffen Iversen,Ben Thatcher,Les Ferdinand,Milenko Acimovic
Fulham,Bolton Wanderers,02-Mar,4,1,Edwin van der Sar,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,John Collins,Junichi Inamoto,Facundo Sava,Jussi Jaaskelainen,Simon Charlton,Gudni Bergsson,Bruno N'Gotty,Ricardo Gardner,Kevin Nolan,Per Frandsen,Jay-Jay Okocha,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Paul Warhurst,Mike Whitlow
Leeds United,Manchester City,02-Mar,3,0,Paul Robinson,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Olivier Dacourt,Seth Johnson,Robbie Keane,Carlo Nash,Steve Howey,Sylvain Distin,Sun Jihai,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Richard Dunne,Darren Huckerby,Chris Shuker
Manchester United,West Bromwich Albion,02-Mar,1,0,Roy Carroll,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Paul Scholes,Diego Forlan,Ole Gunnar Solskjaer,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Daniele Dichio,Bob Taylor,Lee Marshall,Scott Dobie
Southampton,Middlesbrough,02-Mar,0,0,Paul Jones,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Brett Ormerod,Paul Telfer,Jo Tessem,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Noel Whelan,Massimo Maccarone,Colin Cooper,Szilard Nemeth,Alen Boksic
Aston Villa,Liverpool,02-Mar,0,1,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Ozalan Alpay,Olof Mellberg,Lee Hendrie,Thomas Hitzlsperger,Peter Crouch,Darius Vassell,Jlloyd Samuel,Moustapha Hadji,Marcus Allback,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf,Bruno Cheyrou,Emile Heskey,Jamie Carragher
Arsenal,Birmingham City,02-Mar,2,0,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Kolo Toure,Gilberto Silva,Jeremie Aliadiere,Nico Vaesen,Olivier Tebily,Kenny Cunningham,Martin Grainger,Jeff Kenna,Aliou Cisse,Bryan Hughes,Damien Johnson,Stern John,Geoff Horsfield,Tommy Mooney,Darren Carter,Stan Lazaridis
Newcastle United,West Ham United,02-Mar,4,0,Shay Given,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer,Jamie McClen,Robbie Elliott,Shola Ameobi,David James,Ian Pearce,Nigel Winterburn,Sebastian Schemmel,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Jermain Defoe,Titi Camara,Vladimir Labant,John Moncur
Chelsea,Manchester United,02-Mar,2,2,Carlo Cudicini,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Jesper Gronkjaer,Eidur Gudjohnsen,Carlton Cole,Roy Carroll,John O'Shea,Phil Neville,Mikael Silvestre,Ryan Giggs,Roy Keane,Paul Scholes,David Beckham,Nicky Butt,Ruud van Nistelrooy,Juan Sebastian Veron,Ole Gunnar Solskjaer,Diego Forlan
Manchester City,Newcastle United,02-Mar,1,0,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Danny Tiatto,Shaun Goater,Kevin Horlock,Shay Given,Titus Bramble,Aaron Hughes,Nikos Dabizas,Jermaine Jenas,Gary Speed,Nolberto Solano,Kieron Courtney Dyer,Lomana Tresor LuaLua,Alan Shearer,Andy Griffin,Hugo Viana,Shola Ameobi
Birmingham City,Blackburn Rovers,02-Mar,0,1,Nico Vaesen,Olivier Tebily,Kenny Cunningham,Martin Grainger,Darren Purse,Aliou Cisse,Bryan Hughes,Damien Johnson,Darren Carter,Stern John,Geoff Horsfield,Nicky Eaden,Stan Lazaridis,Tommy Mooney,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Craig Hignett,Corrado Grabbi,Henning Berg
Bolton Wanderers,Charlton Athletic,02-Mar,1,2,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Paul Warhurst,Bruno N'Gotty,Ricardo Gardner,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Kevin Nolan,Jonathan Walters,Dean Holdsworth,Dean Kiely,Paul Konchesky,Luke Young,Chris Powell,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,Steve Brown,Mathias Svensson,Kevin Lisbie
Liverpool,Southampton,02-Mar,3,0,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Michael Owen,Emile Heskey,El-Hadji Diouf,Bruno Cheyrou,John Arne Riise,Vladimir Smicer,Paul Jones,Paul Williams,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Brett Ormerod,Michael Svensson,Jo Tessem
Middlesbrough,Fulham,02-Mar,2,2,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Alen Boksic,Massimo Maccarone,Mark Wilson,Joseph Desire Job,Noel Whelan,Edwin van der Sar,Alain Goma,Rufus Brevett,Andrew Melville,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,John Collins,Junichi Inamoto,Facundo Sava
Sunderland,Everton,02-Mar,0,1,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Gavin McCann,Kevin Phillips,Kevin Kyle,Julio Arca,Niall Quinn,Matthew Piper,Richard Wright,Gary Naysmith,Tony Hibbert,Alan Stubbs,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Juliano Rodrigo,Wayne Rooney,Tobias Linderoth
Tottenham Hotspur,Aston Villa,02-Mar,1,0,Kasey Keller,Dean Richards,Christian Ziege,Mauricio Taricco,Anthony Gardner,Jamie Redknapp,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Ben Thatcher,Goran Bunjevcevic,Gary Doherty,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel,Jlloyd Samuel,Marcus Allback
West Ham United,Arsenal,02-Mar,2,2,David James,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Frederic Kanoute,Jermain Defoe,Titi Camara,Gary Breen,John Moncur,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Kolo Toure,Jermaine Pennant,Nwankwo Kanu
West Bromwich Albion,Leeds United,02-Mar,1,3,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Daniele Dichio,Lee Marshall,Ronnie Wallwork,Paul Robinson,Danny Mills,Dominic Matteo,Jonathan Woodgate,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Olivier Dacourt,Lucas Radebe,Robbie Keane
Charlton Athletic,Tottenham Hotspur,02-Mar,0,1,Dean Kiely,Paul Konchesky,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,Radostin Kishishev,Claus Jensen,Jonatan Johansson,Jason Euell,Steve Brown,John Robinson,Mathias Svensson,Kasey Keller,Dean Richards,Gary Doherty,Christian Ziege,Anthony Gardner,Goran Bunjevcevic,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham,Milenko Acimovic,Serhiy Rebrov,Les Ferdinand
Arsenal,West Bromwich Albion,02-Mar,5,2,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Edu,Patrick Vieira,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Kolo Toure,Jeremie Aliadiere,Ray Parlour,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Bob Taylor,Daniele Dichio,Lee Marshall
Aston Villa,Manchester City,02-Mar,1,0,Peter Enckelman,Steve Staunton,Gareth Barry,Mark Delaney,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel,Thomas Hitzlsperger,Jlloyd Samuel,Marcus Allback,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Kevin Horlock,Danny Tiatto,Shaun Goater
Leeds United,Sunderland,02-Mar,0,1,Paul Robinson,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Jonathan Woodgate,Olivier Dacourt,Robbie Keane,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Paul Thirlwell,Thomas Butler,Kevin Phillips,Matthew Piper,Niall Quinn,Kevin Kyle,Julio Arca
Southampton,Chelsea,02-Mar,1,1,Paul Jones,Paul Williams,Wayne Bridge,Michael Svensson,Paul Telfer,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Matt Oakley,Jo Tessem,Brett Ormerod,Carlo Cudicini,William Gallas,Mario Melchiot,Celestine Babayaro,Boudewijn Zenden,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Joe Keenan,Mario Stanic,Eidur Gudjohnsen
Blackburn Rovers,Liverpool,02-Mar,2,2,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Alan Mahon,Craig Hignett,Corrado Grabbi,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf,Salif Diao,Emile Heskey,Vladimir Smicer
Everton,Birmingham City,02-Mar,1,1,Steve Simonsen,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Niclas Alexandersson,Tobias Linderoth,Juliano Rodrigo,Nico Vaesen,Olivier Tebily,Kenny Cunningham,Martin Grainger,Aliou Cisse,Bryan Hughes,Damien Johnson,Robbie Savage,Stern John,Geoff Horsfield,Jeff Kenna,Darren Carter,Clinton Morrison
Birmingham City,Leeds United,02-Mar,2,1,Nico Vaesen,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Bryan Hughes,Geoff Horsfield,Stan Lazaridis,Paul Robinson,Danny Mills,Dominic Matteo,Jonathan Woodgate,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Michael Duberry,Jason Wilcox,Olivier Dacourt
Manchester City,Everton,02-Mar,3,1,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Kevin Horlock,Shaun Goater,Danny Tiatto,Steve Simonsen,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Unsworth,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Juliano Rodrigo,Wayne Rooney,Tobias Linderoth
Middlesbrough,Blackburn Rovers,02-Mar,1,0,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Alen Boksic,Massimo Maccarone,Noel Whelan,Colin Cooper,Joseph Desire Job,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Craig Hignett,Corrado Grabbi,Tugay Kerimoglu
Sunderland,Manchester United,02-Mar,1,1,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Kevin Phillips,Matthew Piper,Kevin Kyle,Niall Quinn,Paul Thirlwell,Roy Carroll,Rio Ferdinand,Phil Neville,Mikael Silvestre,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Luke Chadwick,Diego Forlan,John O'Shea
Tottenham Hotspur,Southampton,02-Mar,2,1,Kasey Keller,Dean Richards,Gary Doherty,Ben Thatcher,Mauricio Taricco,Jamie Redknapp,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Goran Bunjevcevic,Jonathan Blondel,Steffen Iversen,Paul Jones,Paul Williams,Wayne Bridge,Michael Svensson,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Tahar El Khalej,Matt Oakley,Marians Pahars
West Bromwich Albion,Fulham,02-Mar,1,0,Russell Hoult,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Ronnie Wallwork,Sean Gregan,Andy Johnson,Lee Hughes,Jason Roberts,Jason Koumas,Bob Taylor,James Chambers,Edwin van der Sar,Alain Goma,Rufus Brevett,Andrew Melville,Steve Finnan,Sean Davis,Sylvain Legwinski,Luis Boa Morte,Steve Marlet,Facundo Sava,Steed Malbranque,Zat Knight,Louis Saha
West Ham United,Charlton Athletic,02-Mar,0,2,David James,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Frederic Kanoute,Jermain Defoe,Ian Pearce,Titi Camara,Steve Lomas,Dean Kiely,Jonathan Fortune,Chris Powell,Richard Rufus,John Robinson,Luke Young,Radostin Kishishev,Claus Jensen,Mathias Svensson,Jason Euell,Mark Fish,Jonatan Johansson,Shaun Bartlett
Bolton Wanderers,Aston Villa,02-Mar,1,0,Jussi Jaaskelainen,Simon Charlton,Mike Whitlow,Gudni Bergsson,Paul Warhurst,Bruno N'Gotty,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Dean Holdsworth,Ricardo Gardner,Anthony Barness,Peter Enckelman,Steve Staunton,Gareth Barry,Mark Delaney,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel,Jlloyd Samuel,Marcus Allback,Ulises De la Cruz
Chelsea,Arsenal,02-Mar,1,1,Carlo Cudicini,William Gallas,Graeme Le Saux,Albert Ferrer,Marcel Desailly,Boudewijn Zenden,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Eidur Gudjohnsen,Gianfranco Zola,Mario Melchiot,Mario Stanic,Jimmy Floyd Hasselbaink,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Ray Parlour,Edu,Patrick Vieira,Gilberto Silva,Sylvain Wiltord,Nwankwo Kanu,Kolo Toure,Jeremie Aliadiere,Pascal Cygan
Liverpool,Newcastle United,02-Mar,2,2,Jerzy Dudek,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Vladimir Smicer,Michael Owen,Emile Heskey,Jamie Carragher,Bruno Cheyrou,El-Hadji Diouf,Shay Given,Titus Bramble,Aaron Hughes,Nikos Dabizas,Gary Speed,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer,Jermaine Jenas,Laurent Robert,Craig Bellamy
Manchester United,Middlesbrough,02-Mar,1,0,Fabien Barthez,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Diego Forlan,John O'Shea,Ole Gunnar Solskjaer,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Joseph Desire Job,Massimo Maccarone,Mark Wilson,Carlos Marinelli,Noel Whelan
Middlesbrough,Sunderland,02-Mar,3,0,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Alen Boksic,Mark Wilson,Noel Whelan,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Marcus Stewart,Matthew Piper,Paul Thirlwell,Kevin Kyle,David Bellion
Arsenal,Manchester City,02-Mar,2,1,David Seaman,Oleg Luzhny,Sol Campbell,Ashley Cole,Martin Keown,Edu,Patrick Vieira,Gilberto Silva,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Francis Jeffers,Kolo Toure,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Danny Tiatto,Kevin Horlock,Shaun Goater
Aston Villa,Charlton Athletic,02-Mar,2,0,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ozalan Alpay,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Juan Pablo Angel,Marcus Allback,Thomas Hitzlsperger,Peter Crouch,Stefan Moore,Dean Kiely,Luke Young,Jonathan Fortune,Chris Powell,Chris Bart-Williams,John Robinson,Radostin Kishishev,Claus Jensen,Mathias Svensson,Jason Euell,Shaun Bartlett,Steve Brown,Jonatan Johansson
Fulham,Tottenham Hotspur,02-Mar,3,2,Edwin van der Sar,Zat Knight,Alain Goma,Pierre Wome,Junichi Inamoto,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Facundo Sava,John Collins,Barry Hayles,Steed Malbranque,Kasey Keller,Dean Richards,Ben Thatcher,Anthony Gardner,Chris Perry,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Gary Doherty,Steffen Iversen,Christian Ziege
Southampton,Everton,02-Mar,1,0,Paul Jones,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Paul Telfer,Marians Pahars,Andrei Kanchelskis,Paul Gerrard,Tony Hibbert,David Weir,David Unsworth,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Tobias Linderoth,Juliano Rodrigo,Wayne Rooney
West Ham United,West Bromwich Albion,02-Mar,0,1,David James,Gary Breen,Nigel Winterburn,Sebastian Schemmel,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute,Christian Dailly,Steve Lomas,Jermain Defoe,Russell Hoult,Igor Balis,Neil Clement,Phil Gilchrist,Sean Gregan,Andy Johnson,Jason Koumas,Ronnie Wallwork,Lee Hughes,Jason Roberts,Larus Sigurdsson,Scott Dobie,James Chambers
Blackburn Rovers,Chelsea,02-Mar,2,3,Brad Friedel,Martin Taylor,Craig Short,Lucas Neill,David Thompson,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Craig Hignett,Keith Gillespie,Corrado Grabbi,Carlo Cudicini,William Gallas,Mario Melchiot,Celestine Babayaro,Mario Stanic,Jody Morris,Jesper Gronkjaer,Frank Lampard,Gianfranco Zola,Jimmy Floyd Hasselbaink,Boudewijn Zenden,Enrique De Lucas,Eidur Gudjohnsen
Liverpool,Birmingham City,02-Mar,2,2,Jerzy Dudek,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,El-Hadji Diouf,Emile Heskey,Salif Diao,Patrik Berger,Nico Vaesen,Kenny Cunningham,Martin Grainger,Darren Purse,Paul Devlin,Bryan Hughes,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Geoff Horsfield,Stan Lazaridis,Darren Carter
Manchester United,Bolton Wanderers,02-Mar,0,1,Fabien Barthez,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Luke Chadwick,Michael Stewart,Diego Forlan,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Ricardo Gardner,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Dean Holdsworth,Paul Warhurst,Ivan Campo
Newcastle United,Leeds United,02-Mar,0,2,Shay Given,Titus Bramble,Aaron Hughes,Olivier Bernard,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Shola Ameobi,Alan Shearer,Andy Griffin,Hugo Viana,Craig Bellamy,Paul Robinson,Danny Mills,Dominic Matteo,Jonathan Woodgate,Harry Kewell,Lee Bowyer,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka,Lucas Radebe,Paul Okon,Eirik Bakke
Leeds United,Manchester United,02-Mar,1,0,Paul Robinson,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka,Lucas Radebe,Eirik Bakke,Stephen McPhail,Fabien Barthez,John O'Shea,Rio Ferdinand,Phil Neville,Laurent Blanc,Ryan Giggs,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Danny Pugh,Luke Chadwick,Diego Forlan
Bolton Wanderers,Liverpool,02-Mar,2,3,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ricardo Gardner,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen,Danny Livesey,Ivan Campo,Jonathan Walters,Jerzy Dudek,Djimi Traore,Sami Hyypia,Danny Murphy,Steven Gerrard,Jamie Carragher,Salif Diao,Emile Heskey,Milan Baros,Bruno Cheyrou,Michael Owen,El-Hadji Diouf,John Arne Riise
Charlton Athletic,Arsenal,02-Mar,0,3,Dean Kiely,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,John Robinson,Claus Jensen,Jonatan Johansson,Kevin Lisbie,Jason Euell,Radostin Kishishev,Jesper Blomqvist,Mathias Svensson,David Seaman,Oleg Luzhny,Sol Campbell,Ashley Cole,Patrick Vieira,Gilberto Silva,Kolo Toure,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Edu,Nwankwo Kanu,Pascal Cygan
Chelsea,Newcastle United,02-Mar,3,0,Carlo Cudicini,William Gallas,Mario Melchiot,Marcel Desailly,Boudewijn Zenden,Mario Stanic,Jody Morris,Frank Lampard,Enrique De Lucas,Eidur Gudjohnsen,Gianfranco Zola,Joe Keenan,Jimmy Floyd Hasselbaink,Jesper Gronkjaer,Shay Given,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer,Hugo Viana,Jermaine Jenas,Shola Ameobi
