home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
West Ham,Southampton,2016/2017 English Premier League,0,3,Adrian,Fraser Forster,Angelo Ogbonna,Winston Reid,Alvaro Arbeloa,Havard Nordtveit,Manuel Lanzini,Cheikhou Kouyate,Mark Noble,Simone Zaza,Dimitri Payet,Michail Antonio,Virgil van Dijk,Jose Fonte,Oriol Romeu,Ryan Bertrand,Cedric Soares,Dusan Tadic,Steven Davis,Pierre-Emile H©ªjbjerg,Nathan Redmond,Charlie Austin
Burnley,Watford,2016/2017 English Premier League,2,0,Tom Heaton,Heurelho Gomes,Ben Mee,Michael Keane,Stephen Ward,Matthew Lowton,Steven Defour,Jeff Hendrick,Dean Marney,George Boyd,Johann Gudmundsson,Sam Vokes,Sebastian Prodl,Miguel Britos,Craig Cathcart,Jose Holebas,Nordin Amrabat,Valon Behrami,Etienne Capoue,Roberto Pereyra,Troy Deeney,Odion Ighalo
Everton,Crystal Palace,2016/2017 English Premier League,1,1,Maarten Stekelenburg,Steve Mandanda,Ashley Williams,Phil Jagielka,Bryan Oviedo,Seamus Coleman,Yannick Bolasie,Gareth Barry,Ross Barkley,Tom Cleverley,Idrissa Gueye,Romelu Lukaku,Damien Delaney,James Tomkins,Martin Kelly,Joel Ward,Jason Puncheon,Joe Ledley,James McArthur,Christian Benteke,Wilfried Zaha,Andros Townsend
Swansea City,Liverpool,2016/2017 English Premier League,1,2,Lukasz Fabianski,Loris Karius,Jordi Amat,Mike van der Hoorn,Kyle Naughton,Angel Rangel,Leon Britton,Jack Cork,Leroy Fer,Borja Baston,Gylfi Sigurdsson,Wayne Routledge,Dejan Lovren,Joel Matip,James Milner,Nathaniel Clyne,Jordan Henderson,Georginio Wijnaldum,Adam Lallana,Roberto Firmino,Philippe Coutinho,Sadio Mane
Hull City,Chelsea,2016/2017 English Premier League,0,2,David Marshall,Thibaut Courtois,Curtis Davies,Jake Livermore,Andy Robertson,David Meyler,Ryan Mason,Markus Henriksen,Sam Clucas,Adama Diomande,Robert Snodgrass,Dieumerci Mbokani,David Luiz,Gary Cahill,Cesar Azpilicueta,N'Golo Kante,Nemanja Matic,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Willian
Sunderland,West Brom,2016/2017 English Premier League,1,1,Jordan Pickford,Ben Foster,John O'Shea,Lamine Kone,Jan Kirchhoff,Jason Denayer,Javier Manquillo,Paddy McNair,Didier N'Dong,Wahbi Khazri,Duncan Watmore,Jermain Defoe,Jonny Evans,Gareth McAuley,Allan Nyom,Craig Dawson,Claudio Yacob,Darren Fletcher,James McClean,Matt Phillips,Salomon Rondon,Nacer Chadli
Watford,Bournemouth,2016/2017 English Premier League,2,2,Heurelho Gomes,Artur Boruc,Younes Kaboul,Sebastian Prodl,Jose Holebas,Juan Zuniga,Valon Behrami,Etienne Capoue,Roberto Pereyra,Troy Deeney,Odion Ighalo,Nordin Amrabat,Steve Cook,Simon Francis,Charlie Daniels,Adam Smith,Jack Wilshere,Harry Arter,Andrew Surman,Callum Wilson,Jordon Ibe,Junior Stanislas
West Ham,Middlesbrough,2016/2017 English Premier League,1,1,Adrian,Victor Valdes,Winston Reid,James Collins,Angelo Ogbonna,Sam Byram,Pedro Obiang,Cheikhou Kouyate,Mark Noble,Michail Antonio,Dimitri Payet,Gokhan Tore,Ben Gibson,Calum Chambers,George Friend,Antonio Barragan,Marten de Roon,Adam Forshaw,Stewart Downing,Cristhian Stuani,Jordan Rhodes,Viktor Fischer
Manchester Utd,Stoke City,2016/2017 English Premier League,1,1,David de Gea,Lee Grant,Chris Smalling,Eric Bailly,Daley Blind,Antonio Valencia,Juan Mata,Paul Pogba,Ander Herrera,Zlatan Ibrahimovic,Marcus Rashford,Jesse Lingard,Bruno Martins Indi,Ryan Shawcross,Erik Pieters,Glen Johnson,Joe Allen,Glenn Whelan,Geoff Cameron,Wilfried Bony,Marko Arnautovic,Xherdan Shaqiri
Leicester City,Southampton,2016/2017 English Premier League,0,0,Kasper Schmeichel,Fraser Forster,Robert Huth,Wes Morgan,Christian Fuchs,Danny Simpson,Daniel Amartey,Danny Drinkwater,Marc Albrighton,Riyad Mahrez,Jamie Vardy,Islam Slimani,Virgil van Dijk,Jose Fonte,Oriol Romeu,Ryan Bertrand,Cedric Soares,Dusan Tadic,Steven Davis,Pierre-Emile H©ªjbjerg,Nathan Redmond,Charlie Austin
Tottenham,Manchester City,2016/2017 English Premier League,2,0,Hugo Lloris,Claudio Bravo,Jan Vertonghen,Toby Alderweireld,Victor Wanyama,Danny Rose,Kyle Walker,Dele Alli,Christian Eriksen,Erik Lamela,Moussa Sissoko,Son Heung-Min,John Stones,Nicolas Otamendi,Aleksandar Kolarov,Pablo Zabaleta,David Silva,Fernandinho,Fernando,Sergio Aguero,Raheem Sterling,Jesus Navas
Burnley,Arsenal,2016/2017 English Premier League,0,1,Tom Heaton,Petr Cech,Ben Mee,Michael Keane,Stephen Ward,Matthew Lowton,Steven Defour,Jeff Hendrick,Dean Marney,George Boyd,Johann Gudmundsson,Sam Vokes,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Hector Bellerin,Mesut Ozil,Granit Xhaka,Santi Cazorla,Alexis Sanchez,Alex Iwobi,Theo Walcott
Chelsea,Leicester City,2016/2017 English Premier League,3,0,Thibaut Courtois,Kasper Schmeichel,David Luiz,Gary Cahill,Cesar Azpilicueta,Nemanja Matic,N'Golo Kante,Marcos Alonso,Victor Moses,Diego Costa,Eden Hazard,Pedro,Robert Huth,Wes Morgan,Christian Fuchs,Luis Hernandez,Daniel Amartey,Danny Drinkwater,Marc Albrighton,Jeff Schlupp,Jamie Vardy,Ahmed Musa
