home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Blackburn,Sunderland,2002-2003 Barclays Premier League,0,0,Brad Friedel,Thomas Sorensen,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Keith Gillespie,Tugay Kerimoglu,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Kevin Kilbane,Thomas Butler,Gavin McCann,Kevin Phillips
Charlton Ath,Chelsea,2002-2003 Barclays Premier League,2,3,Dean Kiely,Carlo Cudicini,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell,William Gallas,Albert Ferrer,Celestine Babayaro,Marcel Desailly,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink
Everton,Tottenham,2002-2003 Barclays Premier League,2,2,Richard Wright,Kasey Keller,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Dean Richards,Mauricio Taricco,Anthony Gardner,Goran Bunjevcevic,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham,Steffen Iversen
Fulham,Bolton,2002-2003 Barclays Premier League,4,1,Edwin van der Sar,Jussi Jaaskelainen,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet,Simon Charlton,Gudni Bergsson,Bruno N'Gotty,Bernard Mendy,Ricardo Gardner,Kevin Nolan,Per Frandsen,Jay-Jay Okocha,Youri Djorkaeff,Michael Ricketts
Leeds United,Manchester City,2002-2003 Barclays Premier League,3,0,Paul Robinson,Carlo Nash,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka
Manchester Utd,West Brom,2002-2003 Barclays Premier League,1,0,Roy Carroll,Russell Hoult,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Daniele Dichio
Southampton,Middlesbrough,2002-2003 Barclays Premier League,0,0,Paul Jones,Mark Schwarzer,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,David Murphy,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Noel Whelan,Massimo Maccarone
Aston Villa,Liverpool,2002-2003 Barclays Premier League,0,1,Peter Enckelman,Jerzy Dudek,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Ozalan Alpay,Olof Mellberg,Lee Hendrie,Thomas Hitzlsperger,Peter Crouch,Darius Vassell,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf
Arsenal,Birmingham City,2002-2003 Barclays Premier League,2,0,David Seaman,Nico Vaesen,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Olivier Tebily,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Bryan Hughes,Damien Johnson,Stern John,Geoff Horsfield
Newcastle Utd,West Ham,2002-2003 Barclays Premier League,4,0,Shay Given,David James,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer,Ian Pearce,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Jermain Defoe
Chelsea,Manchester Utd,2002-2003 Barclays Premier League,2,2,Carlo Cudicini,Roy Carroll,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Boudewijn Zenden,Emmanuel Petit,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,John O'Shea,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Paul Scholes,David Beckham,Nicky Butt,Ruud van Nistelrooy
Manchester City,Newcastle Utd,2002-2003 Barclays Premier League,1,0,Peter Schmeichel,Shay Given,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Jermaine Jenas,Gary Speed,Nolberto Solano,Kieron Courtney Dyer,Lomana Tresor LuaLua,Alan Shearer
Birmingham City,Blackburn,2002-2003 Barclays Premier League,0,1,Nico Vaesen,Brad Friedel,Olivier Tebily,Kenny Cunningham,Martin Grainger,Darren Purse,Aliou Cisse,Bryan Hughes,Damien Johnson,Darren Carter,Stern John,Geoff Horsfield,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole
Bolton,Charlton Ath,2002-2003 Barclays Premier League,1,2,Jussi Jaaskelainen,Dean Kiely,Anthony Barness,Simon Charlton,Mike Whitlow,Paul Warhurst,Bruno N'Gotty,Ricardo Gardner,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,Gary Rowett,Chris Bart-Williams,Claus Jensen,Jonatan Johansson,Graham Stuart,Jason Euell
Liverpool,Southampton,2002-2003 Barclays Premier League,3,0,Jerzy Dudek,Paul Jones,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Michael Owen,Emile Heskey,El-Hadji Diouf,Paul Williams,Wayne Bridge,Claus Lundekvam,Paul Telfer,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie
Middlesbrough,Fulham,2002-2003 Barclays Premier League,2,2,Mark Schwarzer,Edwin van der Sar,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Alen Boksic,Massimo Maccarone,Alain Goma,Rufus Brevett,Andrew Melville,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Steve Marlet
Sunderland,Everton,2002-2003 Barclays Premier League,0,1,Thomas Sorensen,Richard Wright,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Gavin McCann,Kevin Phillips,Kevin Kyle,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell
Tottenham,Aston Villa,2002-2003 Barclays Premier League,1,0,Kasey Keller,Peter Enckelman,Dean Richards,Christian Ziege,Mauricio Taricco,Anthony Gardner,Jamie Redknapp,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Ulises De la Cruz,Steve Staunton,Gareth Barry,Mark Delaney,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell
West Ham,Arsenal,2002-2003 Barclays Premier League,2,2,David James,David Seaman,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Frederic Kanoute,Jermain Defoe,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry
West Brom,Leeds United,2002-2003 Barclays Premier League,1,3,Russell Hoult,Paul Robinson,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka
Charlton Ath,Tottenham,2002-2003 Barclays Premier League,0,1,Dean Kiely,Kasey Keller,Paul Konchesky,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,Radostin Kishishev,Claus Jensen,Jonatan Johansson,Jason Euell,Dean Richards,Gary Doherty,Christian Ziege,Mauricio Taricco,Anthony Gardner,Goran Bunjevcevic,Jamie Redknapp,Matthew Etherington,Simon Davies,Teddy Sheringham
Arsenal,West Brom,2002-2003 Barclays Premier League,5,2,David Seaman,Russell Hoult,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Edu,Patrick Vieira,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie
Aston Villa,Manchester City,2002-2003 Barclays Premier League,1,0,Peter Enckelman,Peter Schmeichel,Steve Staunton,Gareth Barry,Mark Delaney,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka
Leeds United,Sunderland,2002-2003 Barclays Premier League,0,1,Paul Robinson,Thomas Sorensen,Danny Mills,Dominic Matteo,Lucas Radebe,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Paul Thirlwell,Thomas Butler,Kevin Phillips,Matthew Piper
Southampton,Chelsea,2002-2003 Barclays Premier League,1,1,Paul Jones,Carlo Cudicini,Paul Williams,Wayne Bridge,Michael Svensson,Paul Telfer,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Marians Pahars,James Beattie,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Boudewijn Zenden,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink
Blackburn,Liverpool,2002-2003 Barclays Premier League,2,2,Brad Friedel,Jerzy Dudek,Martin Taylor,Craig Short,Lucas Neill,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Michael Owen,El-Hadji Diouf
Everton,Birmingham City,2002-2003 Barclays Premier League,1,1,Steve Simonsen,Nico Vaesen,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Olivier Tebily,Kenny Cunningham,Martin Grainger,Darren Purse,Aliou Cisse,Bryan Hughes,Damien Johnson,Robbie Savage,Stern John,Geoff Horsfield
Birmingham City,Leeds United,2002-2003 Barclays Premier League,2,1,Nico Vaesen,Paul Robinson,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka
Manchester City,Everton,2002-2003 Barclays Premier League,3,1,Peter Schmeichel,Steve Simonsen,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Gary Naysmith,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell
Middlesbrough,Blackburn,2002-2003 Barclays Premier League,1,0,Mark Schwarzer,Brad Friedel,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,Carlos Marinelli,George Boateng,Geremi,Alen Boksic,Massimo Maccarone,Martin Taylor,Craig Short,Lucas Neill,David Thompson,Damien Duff,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole
Sunderland,Manchester Utd,2002-2003 Barclays Premier League,1,1,Thomas Sorensen,Roy Carroll,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Kevin Phillips,Matthew Piper,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Roy Keane,Juan Sebastian Veron,David Beckham,Ruud van Nistelrooy,Ole Gunnar Solskjaer
Tottenham,Southampton,2002-2003 Barclays Premier League,2,1,Kasey Keller,Paul Jones,Dean Richards,Gary Doherty,Ben Thatcher,Mauricio Taricco,Jamie Redknapp,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand,Paul Williams,Wayne Bridge,Michael Svensson,Paul Telfer,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie
West Brom,Fulham,2002-2003 Barclays Premier League,1,0,Russell Hoult,Edwin van der Sar,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Ronnie Wallwork,Sean Gregan,Andy Johnson,Lee Hughes,Jason Roberts,Alain Goma,Rufus Brevett,Andrew Melville,Junichi Inamoto,Steve Finnan,Sean Davis,Sylvain Legwinski,Luis Boa Morte,Steve Marlet,Facundo Sava
West Ham,Charlton Ath,2002-2003 Barclays Premier League,0,2,David James,Dean Kiely,Nigel Winterburn,Sebastian Schemmel,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Frederic Kanoute,Jermain Defoe,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,John Robinson,Luke Young,Radostin Kishishev,Claus Jensen,Mathias Svensson,Jason Euell
Bolton,Aston Villa,2002-2003 Barclays Premier League,1,0,Jussi Jaaskelainen,Peter Enckelman,Simon Charlton,Mike Whitlow,Gudni Bergsson,Paul Warhurst,Bruno N'Gotty,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen,Steve Staunton,Gareth Barry,Mark Delaney,Alan Wright,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Juan Pablo Angel
Chelsea,Arsenal,2002-2003 Barclays Premier League,1,1,Carlo Cudicini,David Seaman,William Gallas,Graeme Le Saux,Albert Ferrer,Marcel Desailly,Boudewijn Zenden,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Eidur Gudjohnsen,Gianfranco Zola,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Edu,Patrick Vieira,Gilberto Silva,Sylvain Wiltord,Nwankwo Kanu
Liverpool,Newcastle Utd,2002-2003 Barclays Premier League,2,2,Jerzy Dudek,Shay Given,Abel Xavier,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Vladimir Smicer,Michael Owen,Emile Heskey,Titus Bramble,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Gary Speed,Nolberto Solano,Kieron Courtney Dyer,Hugo Viana,Lomana Tresor LuaLua,Alan Shearer
Manchester Utd,Middlesbrough,2002-2003 Barclays Premier League,1,0,Fabien Barthez,Mark Schwarzer,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Joseph Desire Job,Massimo Maccarone
Middlesbrough,Sunderland,2002-2003 Barclays Premier League,3,0,Mark Schwarzer,Thomas Sorensen,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Marcus Stewart,Matthew Piper
Arsenal,Manchester City,2002-2003 Barclays Premier League,2,1,David Seaman,Peter Schmeichel,Oleg Luzhny,Sol Campbell,Ashley Cole,Martin Keown,Edu,Patrick Vieira,Gilberto Silva,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka
Aston Villa,Charlton Ath,2002-2003 Barclays Premier League,2,0,Peter Enckelman,Dean Kiely,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ozalan Alpay,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Juan Pablo Angel,Marcus Allback,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,John Robinson,Radostin Kishishev,Claus Jensen,Mathias Svensson,Jason Euell
Fulham,Tottenham,2002-2003 Barclays Premier League,3,2,Edwin van der Sar,Kasey Keller,Zat Knight,Alain Goma,Pierre Wome,Junichi Inamoto,Steve Finnan,Sean Davis,Sylvain Legwinski,Louis Saha,Luis Boa Morte,Facundo Sava,Dean Richards,Ben Thatcher,Anthony Gardner,Goran Bunjevcevic,Chris Perry,Matthew Etherington,Simon Davies,Milenko Acimovic,Teddy Sheringham,Les Ferdinand
Southampton,Everton,2002-2003 Barclays Premier League,1,0,Paul Jones,Paul Gerrard,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Tony Hibbert,David Weir,David Unsworth,Weifeng Li,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell
West Ham,West Brom,2002-2003 Barclays Premier League,0,1,David James,Russell Hoult,Gary Breen,Nigel Winterburn,Sebastian Schemmel,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Jason Koumas,Ronnie Wallwork,Lee Hughes,Jason Roberts
Blackburn,Chelsea,2002-2003 Barclays Premier League,2,3,Brad Friedel,Carlo Cudicini,Martin Taylor,Craig Short,Lucas Neill,David Thompson,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Mario Stanic,Jody Morris,Jesper Gronkjaer,Frank Lampard,Gianfranco Zola,Jimmy Floyd Hasselbaink
Liverpool,Birmingham City,2002-2003 Barclays Premier League,2,2,Jerzy Dudek,Nico Vaesen,Stephane Henchoz,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,El-Hadji Diouf,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Paul Devlin,Bryan Hughes,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John
Manchester Utd,Bolton,2002-2003 Barclays Premier League,0,1,Fabien Barthez,Jussi Jaaskelainen,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ricardo Gardner,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Henrik Pedersen
Newcastle Utd,Leeds United,2002-2003 Barclays Premier League,0,2,Shay Given,Paul Robinson,Titus Bramble,Aaron Hughes,Olivier Bernard,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Shola Ameobi,Alan Shearer,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka
Leeds United,Manchester Utd,2002-2003 Barclays Premier League,1,0,Paul Robinson,Fabien Barthez,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka,John O'Shea,Rio Ferdinand,Phil Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer
Bolton,Liverpool,2002-2003 Barclays Premier League,2,3,Jussi Jaaskelainen,Jerzy Dudek,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ricardo Gardner,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,Jamie Carragher,Salif Diao,Emile Heskey,Milan Baros,Bruno Cheyrou
Charlton Ath,Arsenal,2002-2003 Barclays Premier League,0,3,Dean Kiely,David Seaman,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,John Robinson,Claus Jensen,Jonatan Johansson,Kevin Lisbie,Jason Euell,Oleg Luzhny,Sol Campbell,Ashley Cole,Martin Keown,Patrick Vieira,Gilberto Silva,Kolo Toure,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry
Chelsea,Newcastle Utd,2002-2003 Barclays Premier League,3,0,Carlo Cudicini,Shay Given,William Gallas,Mario Melchiot,Marcel Desailly,Boudewijn Zenden,Mario Stanic,Jody Morris,Frank Lampard,Enrique De Lucas,Eidur Gudjohnsen,Gianfranco Zola,Aaron Hughes,Nikos Dabizas,Olivier Bernard,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer
Everton,Middlesbrough,2002-2003 Barclays Premier League,2,1,Paul Gerrard,Mark Schwarzer,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Gareth Southgate,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone
Sunderland,Fulham,2002-2003 Barclays Premier League,0,3,Thomas Sorensen,Edwin van der Sar,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Marcus Stewart,Matthew Piper,Zat Knight,Alain Goma,Abdeslam Ouaddou,Rufus Brevett,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet
West Brom,Southampton,2002-2003 Barclays Premier League,1,0,Russell Hoult,Paul Jones,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Ronnie Wallwork,Sean Gregan,Andy Johnson,Jason Koumas,Lee Hughes,Jason Roberts,Paul Williams,Jason Dodd,Wayne Bridge,Claus Lundekvam,Paul Telfer,Rory Delap,Chris Marsden,Matt Oakley,Marians Pahars,James Beattie
Manchester City,Blackburn,2002-2003 Barclays Premier League,2,2,Peter Schmeichel,Brad Friedel,Sylvain Distin,Sun Jihai,Mikkel Bischoff,Eyal Berkovic,Chris Shuker,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Martin Taylor,Henning Berg,Craig Short,Lucas Neill,David Thompson,Keith Gillespie,Garry Flitcroft,David Dunn,Dwight Yorke,Andrew Cole
Tottenham,West Ham,2002-2003 Barclays Premier League,3,2,Kasey Keller,David James,Christian Ziege,Mauricio Taricco,Anthony Gardner,Goran Bunjevcevic,Chris Perry,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Teddy Sheringham,Gary Breen,Ian Pearce,Christian Dailly,Tomas Repka,Steve Lomas,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute
Birmingham City,Aston Villa,2002-2003 Barclays Premier League,3,0,Nico Vaesen,Peter Enckelman,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ozalan Alpay,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Juan Pablo Angel,Marcus Allback
Newcastle Utd,Sunderland,2002-2003 Barclays Premier League,2,0,Shay Given,Thomas Sorensen,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Kevin Kilbane,Gavin McCann,Tore Andre Flo,Matthew Piper
Arsenal,Bolton,2002-2003 Barclays Premier League,2,1,David Seaman,Jussi Jaaskelainen,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ivan Campo,Gareth Farrelly,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen
Liverpool,West Brom,2002-2003 Barclays Premier League,2,0,Jerzy Dudek,Russell Hoult,Stephane Henchoz,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Milan Baros,Bruno Cheyrou,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Jason Koumas,Jason Roberts,Scott Dobie
